Unnamed: 0,name,F1,F1 Precision,F1 Recall,F1 Threshold,F1 FPPI,mAP,bbox_size_median,bbox_size_std,bbox_size_min,bbox_size_max,num_frames,model
44,leusderheide_20230706_visual_halfres_CPFS7_0334,0.0869565217391304,1.0,0.0454545454545454,0.65,0.0,0.0014204545454545,32.501220703125,28.85678025072296,24.154589371980677,132.31492354334424,18,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
45,leusderheide_20230706_visual_halfres_CPFS7_0332,0.3513513513513513,0.3095238095238095,0.40625,0.0,1.6111111111111112,0.270618992029283,39.825439453125,301.69146955330376,15.0,1362.3046875,18,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
46,leusderheide_20230705_visual_halfres_CPFS7_0310,0.3050847457627119,0.391304347826087,0.25,0.2,0.5384615384615384,0.1202495974235104,38.16815150842855,53.81717324075029,8.0,311.7774365360933,26,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
47,atr_image_database_01925_0002_cegr_mp4_rescaled_uint8,0.7272727272727272,0.6666666666666666,0.8,0.31,0.7,0.7910160818713448,360.0,93.4665715643834,144.0,408.0,10,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
48,atr_image_database_01925_0012_cegr_mp4_rescaled_uint8,0.6030150753768845,0.4838709677419355,0.8,0.0,1.6,0.4603046594982078,688.0,140.23725927473373,432.0,828.0,10,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
49,atr_image_database_01927_0002_cegr_mp4_rescaled_uint8,0.7544910179640719,0.8181818181818182,0.7,0.3,0.2,0.7976076555023923,250.0,47.56282395129858,140.0,260.0,10,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
50,mantis_drone_2023_DJI_202309100352_003_wide_hd,0.2469135802469136,0.625,0.1538461538461538,0.0,0.3636363636363636,0.121127254487334,48.0,32.4503074360498,10.004000256,160.0,33,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
0,rotterdam_harbour_20210308_jai20000_quart,0.8569310251491651,0.9641693811074918,0.7711598746081505,0.0,0.1182795698924731,0.7631577588753365,201.875,979.876665907214,5.0,11142.0,93,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
1,drone_detection_dataset_2021_IR_DRONE_151,1.0,1.0,1.0,0.0,0.0,1.0,9.0,1.9594574974238472,9.0,16.0,20,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
2,drone_detection_dataset_2021_IR_DRONE_155,1.0,1.0,1.0,0.0,0.0,1.0,12.0,2.481510575605533,9.0,16.0,20,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
3,drone_detection_dataset_2021_V_DRONE_039,1.0,1.0,1.0,0.0,0.0,1.0,8.0,2.667543715421401,8.0,18.0,20,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
4,drone_detection_dataset_2021_V_DRONE_050,0.9555555555555556,0.9772727272727272,0.9347826086956522,0.0,0.05,0.9182312252964424,19.99864002816,17.599676244783513,7.999488,89.99936,20,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
5,drone_detection_dataset_2021_V_DRONE_069,0.9523809523809524,0.9090909090909092,1.0,0.44,0.1,0.9790669856459332,25.0,31.941262773209992,8.99846406144,132.0,20,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
6,TIE_2023_20230914T153103_basler_halfres,0.9,0.8181818181818182,1.0,0.26,0.6666666666666666,0.9747474747474748,164.14523447351348,111.37463602379648,74.7983837682162,376.5883209894053,3,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
7,TIE_2023_20230914T102858_basler_halfres,0.7142857142857143,0.8333333333333334,0.625,0.19,0.5,0.6041666666666667,70.11806944172972,159.73760332572027,37.40018466594595,523.6013191057297,2,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
8,TIE_2023_20230914T130250_basler_halfres,0.8571428571428571,0.75,1.0,0.25,0.3333333333333333,0.9166666666666666,79.99136684972973,26.100587304200403,78.95079897254055,124.66964358227028,3,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
9,mantis_2023_20230324T163455_crontab_recording_person_windy_sunny_EO_zoom,0.7808873720136519,0.9777777777777776,0.65,0.0,0.0526315789473684,0.6449999999999995,71.4111328125,159.4599876853735,26.3671875,1279.248046875,19,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
10,leusderheide_20230706_visual_halfres_CPFS7_0333,0.967741935483871,1.0,0.9375,0.0,0.0,0.9375,458.5,151.69789055883408,56.0,697.0,15,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
11,leusderheide_20230706_visual_halfres_CPFS7_0334,0.8,1.0,0.6666666666666666,0.0,0.0,0.6666666666666665,206.25,140.28067778687696,30.0,720.25,17,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
12,leusderheide_20230706_visual_halfres_CPFS7_0332,0.9523809523809524,0.967741935483871,0.9375,0.0,0.0588235294117647,0.931451612903226,229.5,2006.4137512019015,15.0,8928.0,17,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
