Unnamed: 0,model,recall,precision,model_name,model_type
748,multi-frame-no-mist-aug,0.48,0.9935897435897436,no-mist-aug,multi-frame
749,multi-frame-no-mist-aug,0.49,0.9935897435897436,no-mist-aug,multi-frame
750,multi-frame-no-mist-aug,0.5,0.9935897435897436,no-mist-aug,multi-frame
751,multi-frame-no-mist-aug,0.51,0.9935897435897436,no-mist-aug,multi-frame
752,multi-frame-no-mist-aug,0.52,0.9935897435897436,no-mist-aug,multi-frame
753,multi-frame-no-mist-aug,0.53,0.9935897435897436,no-mist-aug,multi-frame
754,multi-frame-no-mist-aug,0.54,0.9935897435897436,no-mist-aug,multi-frame
755,multi-frame-no-mist-aug,0.55,0.9935897435897436,no-mist-aug,multi-frame
756,multi-frame-no-mist-aug,0.56,0.9935897435897436,no-mist-aug,multi-frame
757,multi-frame-no-mist-aug,0.5700000000000001,0.9935897435897436,no-mist-aug,multi-frame
758,multi-frame-no-mist-aug,0.58,0.9935897435897436,no-mist-aug,multi-frame
759,multi-frame-no-mist-aug,0.59,0.9874213836477987,no-mist-aug,multi-frame
760,multi-frame-no-mist-aug,0.6,0.98159509202454,no-mist-aug,multi-frame
761,multi-frame-no-mist-aug,0.61,0.9761904761904762,no-mist-aug,multi-frame
762,multi-frame-no-mist-aug,0.62,0.9710982658959536,no-mist-aug,multi-frame
763,multi-frame-no-mist-aug,0.63,0.9710982658959536,no-mist-aug,multi-frame
764,multi-frame-no-mist-aug,0.64,0.9617486338797814,no-mist-aug,multi-frame
765,multi-frame-no-mist-aug,0.65,0.9617486338797814,no-mist-aug,multi-frame
766,multi-frame-no-mist-aug,0.66,0.9581151832460733,no-mist-aug,multi-frame
767,multi-frame-no-mist-aug,0.67,0.9581151832460733,no-mist-aug,multi-frame
768,multi-frame-no-mist-aug,0.68,0.9536082474226804,no-mist-aug,multi-frame
769,multi-frame-no-mist-aug,0.6900000000000001,0.9502655536749244,no-mist-aug,multi-frame
770,multi-frame-no-mist-aug,0.7000000000000001,0.9502487562189056,no-mist-aug,multi-frame
771,multi-frame-no-mist-aug,0.71,0.9488875669959382,no-mist-aug,multi-frame
772,multi-frame-no-mist-aug,0.72,0.9473569351311076,no-mist-aug,multi-frame
