bbox_x,bbox_y,bbox_w,bbox_h,class_id,label,confidence,timestamp,track_id,n
1253,757,20,44,0,object,0.0924889519810676,3.767,133,3
1035,971,15,34,0,object,0.0857803747057914,3.767,134,3
1302,582,35,115,0,object,0.0876892954111099,3.767,135,3
1261,753,22,48,0,object,0.1030489280819892,3.767,137,3
1275,517,36,99,0,object,0.0870715007185936,3.767,138,3
1215,751,62,57,0,object,0.0873399674892425,3.767,140,3
331,813,202,106,0,object,0.0844693705439567,3.767,143,2
360,719,143,79,0,object,0.1057140007615089,3.767,144,2
1086,554,98,47,0,object,0.0822907760739326,3.767,146,2
1667,811,149,86,0,object,0.0808299779891967,3.767,148,1
1022,301,16,34,0,object,0.1066429764032363,3.767,122,-1
1421,274,52,34,0,object,0.0903530046343803,3.767,123,-1
1822,57,69,66,0,object,0.4494563341140747,4.233,11,104
1160,682,98,36,0,object,0.0839472711086273,4.233,113,22
1081,578,77,32,0,object,0.0998690873384475,4.233,146,15
1857,124,34,28,0,object,0.3956692814826965,4.233,155,3
1592,767,15,35,0,object,0.2817043364048004,4.233,162,2
227,389,18,15,0,object,0.1391805112361908,4.233,163,2
422,327,20,15,0,object,0.1440721005201339,4.233,164,2
831,368,36,18,0,object,0.1069455370306968,4.233,165,2
615,166,17,15,0,object,0.1389636844396591,4.233,166,2
831,368,52,21,0,object,0.100702129304409,4.233,167,2
807,383,18,33,0,object,0.0915232673287391,4.233,168,2
794,213,15,15,0,object,0.1010998860001564,4.233,170,2
1530,26,81,100,0,object,0.0809371396899223,4.233,171,2
794,213,15,15,0,object,0.1010998860001564,4.233,170,-1
1822,58,68,65,0,object,0.4515710473060608,4.7,11,118
1612,32,109,108,0,object,0.1548380702733993,4.7,109,22
1159,679,102,44,0,object,0.1418733298778534,4.7,113,52
1858,126,31,25,0,object,0.3035050630569458,4.7,155,17
567,893,16,45,0,object,0.1273009926080703,4.7,198,4
1159,657,100,41,0,object,0.1433803290128708,4.7,200,3
944,590,48,29,0,object,0.1343423426151275,4.7,204,1
999,592,65,31,0,object,0.1173527091741561,4.7,205,1
959,590,33,24,0,object,0.0810536593198776,4.7,206,1
959,590,33,24,0,object,0.0810536593198776,4.7,206,-1
1823,55,65,75,0,object,0.305124282836914,5.167,11,132
346,952,88,31,0,object,0.149555504322052,5.167,103,25
1191,882,99,58,0,object,0.1016661152243614,5.167,107,52
1161,690,99,46,0,object,0.1473274081945419,5.167,113,66
347,808,184,109,0,object,0.1077077984809875,5.167,143,46
1849,126,34,27,0,object,0.0827864781022071,5.167,155,32
1084,600,75,28,0,object,0.2229209542274475,5.167,156,33
1084,587,77,36,0,object,0.0855903774499893,5.167,178,34
339,432,88,32,0,object,0.0956971347332,5.167,187,3
1085,563,77,38,0,object,0.1046218276023864,5.167,191,14
1154,837,54,29,0,object,0.0913733541965484,5.167,196,13
566,891,16,46,0,object,0.1054785102605819,5.167,198,14
1162,651,96,41,0,object,0.1285703778266906,5.167,200,26
1106,676,39,29,0,object,0.0981265679001808,5.167,203,7
550,891,16,44,0,object,0.1054491400718689,5.167,209,7
1206,793,115,63,0,object,0.0862414538860321,5.167,210,6
444,862,122,129,0,object,0.0858519002795219,5.167,215,7
841,771,40,31,0,object,0.1265725791454315,5.167,220,5
1677,806,109,98,0,object,0.3403189182281494,5.167,224,13
496,799,76,72,0,object,0.1007665768265724,5.167,226,4
658,805,60,20,0,object,0.0865340530872345,5.167,227,4
19,862,69,42,0,object,0.0828972682356834,5.167,228,4
1526,26,84,100,0,object,0.0800408199429512,5.167,231,3
229,882,121,57,0,object,0.1071274802088737,5.167,232,1
1028,440,49,19,0,object,0.1000789031386375,5.167,233,1
1271,413,101,100,0,object,0.0906780734658241,5.167,234,1
687,949,73,35,0,object,0.0891192778944969,5.167,235,1
1028,440,49,19,0,object,0.1000789031386375,5.167,233,-1
